Year,State,Value
2017,FLORIDA,"18,033"
2017,FLORIDA,"108,440"
2017,FLORIDA,"7,418"
2017,FLORIDA,"37,308"
2017,FLORIDA,"67,727"
2017,FLORIDA,"5,126"
2017,FLORIDA,"515,600"
2017,FLORIDA,"96,586"
2017,FLORIDA,"22,140"
2017,FLORIDA,"98,347"
2017,FLORIDA, (D)
2017,FLORIDA,"102,992"
2017,FLORIDA,"245,341"
2017,FLORIDA,"53,712"
2017,FLORIDA,"7,150"
2017,FLORIDA,"102,068"
2017,FLORIDA,"825,426"
2017,FLORIDA,"7,150"
2017,FLORIDA,"233,400"
2017,FLORIDA,"334,487"
2017,FLORIDA,"368,368"
2017,FLORIDA,"53,246"
2017,FLORIDA,"153,265"
2017,FLORIDA,"324,551"
2017,FLORIDA,"56,438"
2017,FLORIDA,"578,988"
2017,FLORIDA,"105,640"
2017,FLORIDA, (D)
2017,FLORIDA,"406,312"
2017,FLORIDA,"30,923"
2017,FLORIDA, (D)
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA,302
2017,GEORGIA, (D)
2017,GEORGIA,268
2017,GEORGIA,"3,920"
2017,GEORGIA,"1,322"
2017,GEORGIA, (D)
2017,GEORGIA,866
2017,GEORGIA, (D)
2017,GEORGIA,"5,082"
2017,GEORGIA, (D)
2017,GEORGIA,"1,123"
2017,GEORGIA,157
2017,GEORGIA,"7,969"
2017,GEORGIA, (D)
2017,GEORGIA,"1,592"
2017,GEORGIA, (D)
2017,GEORGIA,229
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA,"8,554"
2017,GEORGIA,"4,044"
2017,GEORGIA,236
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA,200
2017,GEORGIA,852
2017,GEORGIA, (D)
2017,GEORGIA,"1,564"
2017,GEORGIA,528
2017,GEORGIA,"7,640"
2017,GEORGIA,576
2017,GEORGIA,"2,585"
2017,GEORGIA,"1,729"
2017,GEORGIA,624
2017,GEORGIA,"8,261"
2017,GEORGIA, (D)
2017,GEORGIA,"1,896"
2017,GEORGIA, (D)
2017,GEORGIA,"7,160"
2017,GEORGIA,384
2017,GEORGIA,300
2017,GEORGIA,"32,915"
2017,GEORGIA,"7,485"
2017,GEORGIA,"1,578"
2017,GEORGIA,"1,754"
2017,GEORGIA,"3,612"
2017,GEORGIA,700
2017,GEORGIA,"2,742"
2017,GEORGIA,"1,104"
2017,GEORGIA, (D)
2017,GEORGIA,"6,561"
2017,GEORGIA,740
2017,GEORGIA,"9,702"
2017,GEORGIA,"24,738"
2017,GEORGIA,"4,978"
2017,GEORGIA,"4,805"
2017,GEORGIA,387
2017,GEORGIA,"22,955"
2017,GEORGIA,"8,821"
2017,GEORGIA,"1,080"
2017,GEORGIA,"27,411"
2017,GEORGIA, (D)
2017,GEORGIA,"2,666"
2017,GEORGIA,"2,301"
2017,GEORGIA,"1,726"
2017,GEORGIA,"1,672"
2017,GEORGIA,"1,652"
2017,GEORGIA,"1,356"
2017,GEORGIA,"1,398"
2017,GEORGIA,873
2017,GEORGIA, (D)
2017,GEORGIA,"45,920"
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA,"1,002,829"
2017,GEORGIA,"127,555"
2017,GEORGIA, (D)
2017,GEORGIA,920
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA,"7,340"
2017,GEORGIA,"1,380"
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA,"2,660"
2017,GEORGIA, (D)
2017,GEORGIA,"4,728"
2017,GEORGIA, (D)
2017,GEORGIA,"2,124"
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA,"1,228"
2017,GEORGIA, (D)
2017,GEORGIA,"115,809"
2017,GEORGIA,"23,246"
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA,90
2017,GEORGIA, (D)
2017,GEORGIA,"5,099"
2017,GEORGIA, (D)
2017,GEORGIA,"7,995"
2017,GEORGIA,900
2017,GEORGIA,"3,134"
2017,GEORGIA, (D)
2017,GEORGIA, (D)
2017,GEORGIA,"2,824"
2017,GEORGIA,"17,120"
2017,GEORGIA, (D)
2017,GEORGIA,"2,318"
2017,GEORGIA,"3,564"
2017,GEORGIA,"5,122"
2017,GEORGIA,802
2017,GEORGIA,"2,272"
2017,GEORGIA,"2,567"
2017,GEORGIA,"2,534"
2017,GEORGIA,"4,502"
2017,GEORGIA,619
2017,GEORGIA,"1,741"
2017,GEORGIA, (D)
2017,GEORGIA,914
2017,GEORGIA,"1,870"
2017,GEORGIA, (D)
2017,GEORGIA,"1,548"
2017,GEORGIA, (D)
2017,HAWAII,"2,512,957"
2017,HAWAII,"59,589"
2017,HAWAII,"55,567"
2017,HAWAII,"39,994"
2017,IDAHO,"1,084"
2017,IDAHO, (D)
2017,IDAHO,"588,857"
2017,IDAHO, (D)
2017,IDAHO, (D)
2017,IDAHO, (D)
2017,IDAHO, (D)
2017,IDAHO,540
2017,IDAHO, (D)
2017,IDAHO, (D)
2017,IDAHO, (D)
2017,IDAHO,338
2017,IDAHO, (D)
2017,IDAHO,"2,840"
2017,IDAHO, (D)
2017,IDAHO,"7,207"
2017,IDAHO,"4,320"
2017,IDAHO,128
2017,IDAHO, (D)
2017,IDAHO,"5,848"
2017,IDAHO, (D)
2017,IDAHO, (D)
2017,IDAHO,992
2017,IDAHO, (D)
2017,IDAHO, (D)
2017,IDAHO,"207,705"
2017,IDAHO,420
2017,IDAHO, (D)
2017,IDAHO, (D)
2017,IDAHO,"70,163"
2017,IDAHO, (D)
2017,IDAHO, (D)
2017,IDAHO,"438,055"
2017,IDAHO,"1,298"
2017,IDAHO,"6,147"
2017,IDAHO,"252,820"
2017,IDAHO, (D)
2017,IDAHO,280
2017,IDAHO,"127,240"
2017,ILLINOIS,322
2017,ILLINOIS, (D)
2017,ILLINOIS,999
2017,ILLINOIS, (D)
2017,ILLINOIS, (D)
2017,ILLINOIS,"3,234"
2017,ILLINOIS, (D)
2017,ILLINOIS,"5,090"
2017,ILLINOIS,850
2017,ILLINOIS,"1,060"
2017,ILLINOIS,"12,197"
2017,ILLINOIS,"12,551"
2017,ILLINOIS,856
2017,ILLINOIS,"3,226"
2017,ILLINOIS,"5,517"
2017,ILLINOIS, (D)
2017,ILLINOIS,186
2017,ILLINOIS,"3,079"
2017,ILLINOIS,"2,050"
2017,ILLINOIS,"3,656"
2017,ILLINOIS,"2,580"
2017,ILLINOIS,718
2017,ILLINOIS,"1,222"
2017,ILLINOIS,"3,150"
2017,ILLINOIS,"2,269"
2017,ILLINOIS,"6,865"
2017,ILLINOIS,890
2017,ILLINOIS,"2,530"
2017,ILLINOIS,"3,874"
2017,ILLINOIS,"5,326"
2017,ILLINOIS,790
2017,ILLINOIS,"1,898"
2017,ILLINOIS,"3,345"
2017,ILLINOIS,"65,497"
2017,ILLINOIS,"6,490"
2017,ILLINOIS,"9,297"
2017,ILLINOIS,"1,554"
2017,ILLINOIS,"30,284"
2017,ILLINOIS,"10,020"
2017,ILLINOIS,"5,252"
2017,ILLINOIS,"26,213"
2017,ILLINOIS,"14,583"
2017,ILLINOIS,"15,118"
2017,ILLINOIS,"6,381"
2017,ILLINOIS,"1,362"
2017,ILLINOIS,"2,159"
2017,ILLINOIS,"5,469"
2017,ILLINOIS,"4,999"
2017,ILLINOIS,"5,379"
2017,ILLINOIS,"5,912"
2017,ILLINOIS,240
2017,ILLINOIS,"7,976"
2017,ILLINOIS,"2,480"
2017,ILLINOIS,"13,296"
2017,ILLINOIS,"8,830"
2017,ILLINOIS,715
2017,ILLINOIS, (D)
2017,ILLINOIS,701
2017,ILLINOIS,"1,488"
2017,ILLINOIS,"1,912"
2017,ILLINOIS,"1,716"
2017,ILLINOIS, (D)
2017,ILLINOIS, (D)
2017,ILLINOIS, (D)
2017,ILLINOIS,"5,161"
2017,ILLINOIS, (D)
2017,ILLINOIS,"7,188"
2017,ILLINOIS,"8,416"
2017,ILLINOIS,730
2017,ILLINOIS,"2,157"
2017,ILLINOIS,"6,736"
2017,ILLINOIS, (D)
2017,ILLINOIS, (D)
2017,ILLINOIS,"8,530"
2017,ILLINOIS,"1,176"
2017,ILLINOIS,623
2017,ILLINOIS,"1,906"
2017,ILLINOIS,"8,571"
2017,ILLINOIS,"7,324"
2017,ILLINOIS,"1,000"
2017,ILLINOIS,"5,220"
2017,ILLINOIS,"6,410"
2017,ILLINOIS,823
2017,ILLINOIS,"11,244"
2017,ILLINOIS,"1,050"
2017,ILLINOIS, (D)
2017,ILLINOIS,680
2017,ILLINOIS,"1,110"
2017,ILLINOIS,834
2017,ILLINOIS,"2,378"
2017,ILLINOIS,"10,177"
2017,ILLINOIS,"8,472"
2017,ILLINOIS,"3,554"
2017,ILLINOIS,"1,775"
2017,ILLINOIS,594
2017,ILLINOIS,"6,005"
2017,INDIANA,487
2017,INDIANA,"9,900"
2017,INDIANA,"8,813"
2017,INDIANA,115
2017,INDIANA,"2,808"
2017,INDIANA,"3,550"
2017,INDIANA,404
2017,INDIANA,"5,532"
2017,INDIANA,"1,680"
2017,INDIANA,"4,486"
2017,INDIANA,"6,074"
2017,INDIANA,"2,549"
2017,INDIANA,"10,405"
2017,INDIANA, (D)
2017,INDIANA,719
2017,INDIANA,"1,332"
2017,INDIANA,"3,988"
2017,INDIANA,365
2017,INDIANA,"1,940"
2017,INDIANA,450
2017,INDIANA,"1,899"
2017,INDIANA,"2,596"
2017,INDIANA,"5,062"
2017,INDIANA,764
2017,INDIANA,"1,048"
2017,INDIANA,"6,072"
2017,INDIANA, (D)
2017,INDIANA,"2,224"
2017,INDIANA,"7,159"
2017,INDIANA,"1,810"
2017,INDIANA,"6,329"
2017,INDIANA, (D)
2017,INDIANA,"23,000"
2017,INDIANA,"7,123"
2017,INDIANA,"1,175"
2017,INDIANA,"4,488"
2017,INDIANA,"21,264"
2017,INDIANA, (D)
2017,INDIANA,"1,484"
2017,INDIANA,762
2017,INDIANA,668
2017,INDIANA, (D)
2017,INDIANA,"2,460"
2017,INDIANA,"3,606"
2017,INDIANA,"1,236"
2017,INDIANA, (D)
2017,INDIANA,"16,795"
2017,INDIANA,"12,068"
2017,INDIANA,"3,360"
2017,INDIANA,"1,664"
2017,INDIANA,768
2017,INDIANA, (D)
2017,INDIANA,"6,315"
2017,INDIANA, (D)
2017,INDIANA,654
2017,INDIANA,"1,458"
2017,INDIANA,"1,111"
2017,INDIANA,"3,062"
2017,INDIANA,390
2017,INDIANA,348
2017,INDIANA,"4,694"
2017,INDIANA,"2,640"
2017,INDIANA,"9,764"
2017,INDIANA,"1,740"
2017,INDIANA,404
2017,INDIANA,"12,128"
2017,INDIANA,240
2017,INDIANA, (D)
2017,INDIANA,"1,458"
2017,INDIANA,"1,188"
2017,INDIANA,80
2017,INDIANA,"2,451"
2017,INDIANA, (D)
2017,INDIANA, (D)
2017,INDIANA,694
2017,INDIANA,"2,976"
2017,INDIANA,130
2017,INDIANA,988
2017,INDIANA,"6,475"
2017,INDIANA,286
2017,INDIANA,810
2017,INDIANA,396
2017,INDIANA,"2,474"
2017,INDIANA,"4,824"
2017,INDIANA,"8,665"
2017,INDIANA,900
2017,INDIANA,"1,559"
2017,INDIANA,596
